연번,특구 구분,기술명,발명의 명칭,출원번호,등록번호,기술보유기관,12대국가전략기술(대분류),12대국가전략기술(소분류),기술성숙도
367,인천서구,수도 관망 내에서의 누수 여부를 모니터링하는 누수 모니터링 장치,수도 관망 내에서의 누수 여부를 모니터링하는 누수 모니터링 장치 및 그 동작 방법,10-2020-0149892,10-2476941,인천대학교 산학협력단,Ⅱ. 혁신선도,3. 반도체·디스플레이,4
368,군산,신재생 에너지 발전 시스템에서 적외선 카메라를 이용한 고장 진단 장치 및 이를 위한 방법,신재생 에너지 발전 시스템에서 적외선 카메라를 이용한 고장 진단 장치 및 이를 위한 방법,10-2012-0087054,10-1194906,군산대학교 산학협력단,Ⅱ. 혁신선도,3. 반도체·디스플레이,5
369,창원,실내온도 및 습도 제어 창문 자동 개폐 시스템 기술,냉방부하 절감을 위한 창문 자동 개폐 시스템,10-2018-0112399,10-2032860,창원대학교 산학협력단,Ⅱ. 혁신선도,3. 반도체·디스플레이,5
370,창원,아민계 폴리머를 포함한 다이오드 제조 방법,아민계 폴리머를 포함한 다이오드 제조방법,10-2015-0144561,10-2311791,한국전기연구원,Ⅱ. 혁신선도,3. 반도체·디스플레이,5
371,창원,연도열을 이용한 스스로 발전형 정전집진 장치,연도열을 이용한 스스로 발전형 정전집진 장치,10-2017-0096661,10-2296269,한국전기연구원,Ⅱ. 혁신선도,3. 반도체·디스플레이,5
372,창원,용매치환법에 의한 차세대 황화물계 고체 전해질 입도 제어기술,황화물계 고체전해질의 제조방법 및 이로부터 제조되는 황화물계 고체전해질,10-2020-0085856, ,한국전기연구원,Ⅱ. 혁신선도,3. 반도체·디스플레이,5
373,안산,"전기변색 소자 및 그 제조 방법, 그리고 전기변색 소자용 전해질","전기변색 소자 및 그 제조 방법, 그리고 전기변색 소자용 전해질",10-2017-0172989,10-2022784,한양대학교 에리카산학협력단,Ⅱ. 혁신선도,3. 반도체·디스플레이,5
374,광주,전도성 고분자를 포함하는 투명전극소재 및 그 제조방법,전도성 고분자를 포함하는 투명전극소재 및 그 제조방법,10-2019-0160383,10-2302713,동아대학교 산학협력단,Ⅱ. 혁신선도,3. 반도체·디스플레이,5
375,구미,주소형 화재감지장치,디지털 아날로그 변환부로 제어되는 전압제어 전류원을 이용한 주소형 화재감지장치,10-2017-0000530,10-1916452,금오공과대학교 산학협력단,Ⅱ. 혁신선도,3. 반도체·디스플레이,3
376,창원,직류(DC)전압 검전기,비접촉 직류 전계 센서,10-2022-0118453,,한국전기연구원,Ⅱ. 혁신선도,3. 반도체·디스플레이,3
377,울주,초고밀도 메모리 및 멀티레벨 메모리 소자 및 그 제조방법,"초고밀도 메모리 및 멀티레벨 메모리 소자, 및 그 제조 방법",10-2021-0018617, ,울산과학기술원,Ⅱ. 혁신선도,3. 반도체·디스플레이,4
378,광주,초소형 부품의 실시간 인라인 불량검출 기술,제품 표면의 품질 검사를 수행하기 위한 장치 및 방법,10-2021-0161458,,한국전자통신연구원,Ⅱ. 혁신선도,3. 반도체·디스플레이,8
379,전북,콜레스테릭 액정을 이용한 고명암 대비율 광등방성 액정 표시소자를 활용한 PDLC 스마트 윈도우 개발,콜레스테릭 액정을 이용한 고명암 대비율 광등방성 액정 표시소자 및 이의 제조방법,10-2017-0064453,10-1846782,전북대학교 산학협력단,Ⅱ. 혁신선도,3. 반도체·디스플레이,4
380,창원,트렌치 게이트형 SiC MOSFET 디바이스 및 그 제조 방법,트렌치 게이트형 ＳｉＣ ＭＯＳＦＥＴ 디바이스 및 그 제조 방법,10-2020-0069145,10-2330787,한국전기연구원,Ⅱ. 혁신선도,3. 반도체·디스플레이,4
381,군산,풍력 터빈의 전역적 전력 조정 방법 및 그 시스템,풍력 터빈의 전역적 전력 조정 방법 및 그 시스템,10-2017-0068175,10-1939908,군산대학교 산학협력단,Ⅱ. 혁신선도,3. 반도체·디스플레이,5
382,포항,3D CNN을 이용한 영상인식,3D CNN을 이용한 고속 영상 인식 방법 및 장치,10-2019-0005188,10-2263017,포항공과대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,4
383,진주,AI 기반 소성 가공 공정 정보 구축 방법,AI 기반 소성 가공 공정 정보 구축 방법,10-2020-0006401,10-2311784,경상국립대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,5
384,구미,NFT를 활용한 영상제작 플랫폼의 구현을 위한 요소기술,분산 시스템의 신뢰성 및 보안성 향상을 위한 블록체인 기반의 데이터 공유방법,10-2020-0056181,10-2307973,금오공과대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,7
385,구미,개인 맞춤형 교과목 추천 방법 및 장치에 관한 기술,개인 맞춤형 교과목 추천 방법 및 그 장치,10-2015-0119285,10-1754723,건국대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,6
386,군산,공간 태그된 사진들의 컨텐츠에 기반한 클러스터링 방법 및 장치,공간 태그된 사진들의 컨텐츠에 기반한 클러스터링 방법 및 장치,10-2019-0171716,10-2269408,군산대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,5
387,춘천,굴절률을 통해 수분량을 측정하는 높은 정확도의 토양 수분 센서 ,굴절률을 통해 수분량을 측정하는 토양 수분 센서,10-2019-0121622,10-2233557,한밭대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,5
388,전북,다기능성 스마트 디바이스 거치장치 개발,웰슬립을 위한 모바일 미디어 스마트 거치장치,10-2021-0036903,10-2374019,전주대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,4
389,대덕,다양한 영상 조건에서의 딥러닝 기반 휴먼 행동 인식 기술,CCTV 영상 기반 이상 행동 감지 방법 및 이를 위한 장치,10-2020-0034430, ,한국전자통신연구원,Ⅲ. 필수기반,1. 인공지능,6
390,춘천,동작인식 기술 기반의 비대면 운동관리 디지털 헬스케어 서비스 제품 개발,휴먼 자세 추정 장치 및 방법,10-2020-0105426, ,한국전자통신연구원,Ⅲ. 필수기반,1. 인공지능,5
391,나주,디지털 트윈 기반의 설비 유지보수 가상화 시스템,디지털 트윈 기반의 설비 유지보수 가상화 시스템,10-2022-0038509,,목포대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,4
392,광주,딥러닝 기반 안전정보 제공 기술,안전정보제공 장치,10-2021-0040427, ,광주과학기술원,Ⅲ. 필수기반,1. 인공지능,1
393,인천서구,딥러닝에 기반한 대기환경 오염원 및 누출 사고 추적과 예방 시스템,딥러닝에 기반한 원격 감지를 위한 실시간 이미지 융합 장치 및 방법,10-2021-0192023,,인천대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,4
394,구미,마스크를 착용한 상황에서 신원 인식이 가능한 영상 기반 신원 인식 모델,마스크 환경에 적응 가능한 신원 인식 방법 및 이를 위한 장치,10-2020-0141359, ,한국전자통신연구원,Ⅲ. 필수기반,1. 인공지능,4
395,청주,머신러닝에 기초한 반도체 불량 시점 예측 장치 및 방법,머신러닝에 기초한 반도체 불량 시점 예측 장치 및 방법,10-2021-0075966,10-2384189,충북대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,4
396,김해,멤리스터 소자 및 이의 제조방법,멤리스터 소자 및 이의 제조방법,10-2021-0085873,10-2395031,인제대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,4
397,광주,보행경로예측장치,보행경로예측 장치,10-2020-0138701, ,광주과학기술원,Ⅲ. 필수기반,1. 인공지능,3
398,대덕,비 제약 영상에서의 사람/차량 식별 및 추적 AI 기술,이동경로 기반 객체 매핑 방법 및 장치,10-2020-0022670, ,한국전자통신연구원,Ⅲ. 필수기반,1. 인공지능,6
399,광주,비디오 영상의 시간축상 메디안 필터링 방법,비디오 영상의 시간축상 메디안 필터링 방법,10-2016-0176867,10-1799825,전남대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,3
400,광주,비접지 전원 계통의 절연 감시 장치,비접지 전원 계통의 절연 감시 장치,10-2021-0153064,,한국전자기술연구원,Ⅲ. 필수기반,1. 인공지능,6
401,진주,스마트 팜 환경 데이터의 보간 장치 및 그 방법,스마트 팜 환경 데이터의 보간 장치 및 그 방법,10-2019-0092032,10-2347535,"서울대학교 산학협력단,경상국립대학교 산학협력단",Ⅲ. 필수기반,1. 인공지능,5
402,인천서구,실내 결로 발생 시간을 예측하는 결로 예측 시스템 및 방법,실내 결로 발생 시간을 예측하는 결로 예측 시스템 및 방법,10-2019-0105963,10-2406311,인천대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,4
403,인천서구,실내공기오염저감 기능을 구비한 스마트 고양이 화장실,모래 교체 시기를 알려주는 고양이 화장실,10-2020-0179706, ,인천대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,4
404,구미,실시간 영상으로부터 화재 발생 여부를 인식하기 위해 딥러닝의 성능을 높이기 위한 전처리 기술,딥러닝 기반의 화재 감지를 위한 시퀀스 영상 이미지 전처리 시스템 및 방법,10-2019-0142332, ,한국전자통신연구원,Ⅲ. 필수기반,1. 인공지능,4
405,진주,안개 제거 방법 및 장치,안개 제거 방법 및 장치,10-2016-0023568,10-1746712,울산과학기술원,Ⅲ. 필수기반,1. 인공지능,4
406,진주,영상 처리 장치 및 방법,영상 처리 장치 및 방법,10-2017-0180904,10-2027043,울산과학기술원,Ⅲ. 필수기반,1. 인공지능,4
407,구미,영상데이터의 학습방법 및 장치,영상데이터의 학습방법 및 장치,10-2019-0089405,10-2224276,금오공과대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,4
408,구미,"영상의 배경과 객체를 분리하고, 객체의 이동을 검출할 수 있는 시스템",배경 학습 기반 이동 객체 검출 시스템,10-2015-0131156,10-1684172,금오공과대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,4
409,구미,오디션 플랫폼 개발을 위한 요소기술,색상에 따른 음악 검색 장치 및 이를 이용한 음악 검색 방법,10-2015-0046680,10-1646989,금오공과대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,7
410,광주,의미와 문맥을 고려한 주제기반 문서 자동 분류 시스템,의미와 문맥을 고려한 주제기반 문서 자동 분류 시스템,10-2018-0061050,10-1938212,전남대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,5
411,광주,인공신경망을 이용한 실내공기질 가상 모니터링 방법 및 시스템,인공신경망을 이용한 실내공기질 가상 모니터링 방법 및 시스템,10-2020-0155792,10-2408444,전남대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,3
412,창원,저해상도 얼굴 영상을 실시간 인식할 수 있는 기술,실시간 얼굴 인식장치 및 방법,10-2019-0162545,10-2329466,창원대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,4
413,군산,제품 평가 마이닝 방법 및 이를 수행하는 장치,제품 평가 마이닝 방법 및 이를 수행하는 장치,10-2019-0110247,10-2299525,군산대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,7
414,구미,증강현실과 가상현실을 선택적으로 사용할 수 있는 하이브리드 영상출력 장치에 관한 특허,증강현실과 가상현실을 선택적으로 사용할 수 있는 하이브리드 영상출력 장치,10-2021-0075947, ,금오공과대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,6
415,군산,지오 태그 사진들로부터 어트랙션 지역을 발견하는 방법 및 이를 수행하는 장치,지오 태그 사진들로부터 어트랙션 지역을 발견하는 방법 및 이를 수행하는 장치,10-2019-0116090,10-2249383,군산대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,4
416,대구,콘크리트 표면 영상 내 크랙 패턴 검출을 위한 영상 세그먼트 처리 방법,영상의 세그먼트 처리 방법 및 세그먼트 처리 방법을 수행하는 장치,10-2019-0162826,10-2382962,대구경북과학기술원,Ⅲ. 필수기반,1. 인공지능,4
417,진주,파노라마 영상에 의한 다양한 개체의 스마트 팜 생육 관리 시스템 및 방법,파노라마 영상에 의한 다양한 개체의 스마트 팜 생육 관리 시스템 및 방법,10-2020-0082305,10-2434210,부산대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,5
418,전북,흥미를 유발하고 교육적 효과를 제공할 수 있는 반응형 전자책 개발,반응형 전자책 제공 시스템,10-2014-0194060,10-1640794,전북대학교 산학협력단,Ⅲ. 필수기반,1. 인공지능,4
419,군산,건설기계의 위험경고장치,건설기계의 위험경고장치,10-2017-0072909,10-1970188,재단법인 건설기계부품연구원,Ⅲ. 필수기반,2. 첨단로봇·제조,5
420,안산,과부하 방지를 위한 원격 제어 굴삭기의 제어 장치 및 방법,과부하 방지를 위한 원격 제어 굴삭기의 제어 장치 및 방법,10-2018-0171362,10-2090409,한양대학교 에리카산학협력단,Ⅲ. 필수기반,2. 첨단로봇·제조,5
421,안산,근력 보조 장치,근력 보조 장치,10-2018-0072693,10-2045677,한양대학교 에리카산학협력단,Ⅲ. 필수기반,2. 첨단로봇·제조,5
422,대구,나노섬유 제조 및 특성제어가 가능한 초고속 원심방사 시스템,배향의 무작위성이 향상된 나노 섬유 원심 방사 장치,10-2022-0024460,,경북대학교 산학협력단,Ⅲ. 필수기반,2. 첨단로봇·제조,4
423,진주,대상체 정량 절단 기술,속도제어를 통한 대상체의 정량절단 장치 및 방법,10-2018-0136557,10-2200581,한국로봇융합연구원,Ⅲ. 필수기반,2. 첨단로봇·제조,4
424,대구,레이저비전 센서 및 그 보정방법을 활용한 농업용 로봇 제조 기술,레이저비전 센서 및 그 보정방법,10-2012-0155151,10-1972432,(재)대구기계부품연구원,Ⅲ. 필수기반,2. 첨단로봇·제조,6
425,안산,로봇 그리퍼 및 작동방법,로봇 그리퍼 및 작동방법,10-2018-0108167,10-2134071,한양대학교 에리카산학협력단,Ⅲ. 필수기반,2. 첨단로봇·제조,5
426,구미,마이크로버블을 이용한 공기정화시스템 및 이의 공기정화방법,마이크로버블을 이용한 공기정화시스템 및 이의 공기정화방법,10-2020-0054432,10-2391711,금오공과대학교 산학협력단,Ⅲ. 필수기반,2. 첨단로봇·제조,4
427,구미,방향과 관계없이 적재물 트레이를 인출할 수 있는 트레이 픽업구조,스마트 자동창고용 트레이 픽업구조,10-2019-0031423,10-2219767,금오공과대학교 산학협력단,Ⅲ. 필수기반,2. 첨단로봇·제조,4
428,진주,벽면 이동형 드론 유닛 제어 기술,고층건물 유지 관리를 위한 벽면 이동형 드론 유닛 및 제어방법,10-2018-0096007,10-2150159,한국과학기술원,Ⅲ. 필수기반,2. 첨단로봇·제조,4
429,광주,스캐닝 라이다,송수광 일체형 광학계 모듈 및 이를 구비하는 스캐닝 라이다,10-2017-0000208,10-1923724,한국전자기술연구원,Ⅲ. 필수기반,2. 첨단로봇·제조,7
430,구미,식물공장용 고효율 양액재순환시스템 및 이를 이용한 식물공장,식물공장용 고효율 양액재순환시스템 및 이를 이용한 식물공장,10-2014-0147277,10-1714025,금오공과대학교 산학협력단,Ⅲ. 필수기반,2. 첨단로봇·제조,4
431,대구,온습도 조절이 가능한 에너지 절감형 고추 건조기,에너지 절감형 고추 건조기,10-2013-0118401,10-1541963,경북대학교 산학협력단,Ⅲ. 필수기반,2. 첨단로봇·제조,5
432,진주,위치기반 서비스 구축 기술,무선 측위 방법 및 장치,10-2010-0095490,10-1691181,숭실대학교 산학협력단,Ⅲ. 필수기반,2. 첨단로봇·제조,4
433,전북,자동으로 농작물 사이사이에 형성된 고랑을 따라 이동하면서 양액을 살포하는 농업용 방제 로봇 시스템 개발,농업용 방제 로봇 시스템,10-2012-0051057,10-1376535,전북대학교 산학협력단,Ⅲ. 필수기반,2. 첨단로봇·제조,4
434,구미,자동차 부품 컨트롤 보드의 펌웨어 통합 검사 시스템,자동차 부품 컨트롤 보드의 펌웨어 통합 검사 시스템,10-2018-0153149, ,금오공과대학교 산학협력단,Ⅲ. 필수기반,2. 첨단로봇·제조,4
435,광주,자율 카테터 로봇,마이크로 로봇 이동제어를 위한 베드 통합형 전자기장 장치 및 이를 이용한 마이크로 로봇 구동 방법,10-2020-0083576,10-2379538,재단법인 한국마이크로의료로봇연구원,Ⅲ. 필수기반,2. 첨단로봇·제조,5
436,진주,정밀한 모터 상태 모니터링이 가능한 진동측정장치,마이크로파 공진기를 이용한 모터진동측정장치,10-2015-0111702,10-1746630,서강대학교 산학협력단,Ⅲ. 필수기반,2. 첨단로봇·제조,5
437,창원,착용감이 편안한 유연구동 착용로봇 기술,상지 착용 로봇장치,10-2022-0060616,,한국전기연구원,Ⅲ. 필수기반,2. 첨단로봇·제조,6
438,대구,충전밀도와 투자율이 향상된 자성체 제조 기술,자성체의 제조방법,10-2020-0039974,10-2258927,한국세라믹기술원,Ⅲ. 필수기반,2. 첨단로봇·제조,5
439,창원,탄성 변형 감지 3개의 힘과 3개의 모멘트 측정 기능을 갖는 순응장치 기술,6축 힘/모멘트 측정 기능을 갖는 순응장치,10-2017-0052695,10-1876676,경남대학교 산학협력단,Ⅲ. 필수기반,2. 첨단로봇·제조,7
440,대구,피니싱 작업을 위한 매니퓰레이터 및 그의 제어 방법을 통한 사상가공용 로봇 매니퓰레이터 개발 기술,피니싱 작업을 위한 매니퓰레이터 및 그의 제어 방법,10-2021-7018105, ,광주과학기술원,Ⅲ. 필수기반,2. 첨단로봇·제조,5
441,안산,회전 그리퍼,회전 그리퍼,10-2020-0025820,10-2268780,한양대학교 에리카산학협력단,Ⅲ. 필수기반,2. 첨단로봇·제조,5
442,대덕,IoT/IIoT 응용을 위한 엣지 컴퓨팅 기술,UART 통신 장치 및 방법,10-2018-0042381,10-2265400,한국전자통신연구원,Ⅲ. 필수기반,3. 차세대 통신,5
443,광주,SWIPT 시스템에서 적응적 변조 기법을 이용한 수신 전력 최적화를 위한 장치 및 이를 위한 방법,SWIPT 시스템에서 적응적 변조 기법을 이용한 수신 전력 최적화를 위한 장치 및 이를 위한 방법,10-2019-0149362,10-2272645,동아대학교 산학협력단,Ⅲ. 필수기반,3. 차세대 통신,5
444,창원,고속통신기반의 전력변환장치용 제어장치가 적용된 고압 전력변환장치,전력변환 장치,10-2019-0154004,10-2181321,한국전기연구원,Ⅲ. 필수기반,3. 차세대 통신,5
445,광주,기가급 광무선(FSO) 전송 시스템 기술,무선 광통신 장치 및 이의 양방향 무선 광통신 방법,10-2018-0159188,10-2393062,한국전자통신연구원,Ⅲ. 필수기반,3. 차세대 통신,5
446,청주,네트워크 압축 장치 및 방법,네트워크 압축 장치 및 방법,10-2020-0174963,10-2432851,충북대학교 산학협력단,Ⅲ. 필수기반,3. 차세대 통신,4
447,군산,네트워크의 커버리지에 기초하여 센서 메타데이터를 제공하는 무선 센서 네트워크,네트워크의 커버리지에 기초하여 센서 메타데이터를 제공하는 무선 센서 네트워크,10-2016-0108487, ,군산대학교 산학협력단,Ⅲ. 필수기반,3. 차세대 통신,5
448,구미,단방향 데이터 전달기법을 적용한 mms 기반의 산업용 사물인터넷 플랫폼,단방향 데이터 전달기법을 적용한 MMS 기반의 산업용 사물인터넷 플랫폼,10-2019-0018306,10-2123314,금오공과대학교 산학협력단,Ⅲ. 필수기반,3. 차세대 통신,4
449,청주,릴레이 장치로 동작하는 무인 이동체의 최적 위치 탐색 방법,릴레이 장치로 동작하는 무인 이동체 및 무선 자원과 우선순위에 기초하여 무인 이동체의 최적 위치 탐색 방법,10-2021-0023181,10-2391698,충북대학교 산학협력단,Ⅲ. 필수기반,3. 차세대 통신,4
450,나주,분산 전원의 스케쥴링 및 실시간 제어를 통한 빌딩 에너지 관리 장치,분산 전원의 스케쥴링 및 실시간 제어를 통한 빌딩 에너지 관리 장치,10-2013-0116964,10-2173207,한국전력공사,Ⅲ. 필수기반,3. 차세대 통신,4
451,청주,비대면 온라인 교육 플랫폼 제공기술,비대면 온라인 교육 플랫폼 제공 방법 및 시스템,10-2022-0029510,,충북대학교 산학협력단,Ⅲ. 필수기반,3. 차세대 통신,4
452,광주,서비스 메쉬가 적용되는 클라우드 서비스 시스템,서비스 메쉬가 적용되는 클라우드 서비스 시스템,10-2018-0136897,10-2094923,광주과학기술원,Ⅲ. 필수기반,3. 차세대 통신,4
453,포항,수중 작업자를 위한 안전관리 시스템,수중 작업자를 위한 안전 관리 시스템 및 이를 이용한 안전 관리 방법,10-2021-0075656,10-2348012,포항공과대학교 산학협력단,Ⅲ. 필수기반,3. 차세대 통신,5
454,나주,"압전케이블을 적용한 교통안전시설물, IoT와 압전케이블을 이용한 교통안전시설물의 스마트 관리시스템 및 관리방법","압전케이블을 적용한 교통안전시설물, IoT와 압전케이블을 이용한 교통안전시설물의 스마트 관리시스템 및 관리방법",10-2018-0059437,10-2002728,한국건설기술연구원,Ⅲ. 필수기반,3. 차세대 통신,4
455,청주,유물 보관 또는 전시 공간 대상 환경정보 수집 시스템,유물 보관 또는 전시 공간 대상 환경정보 수집 시스템 및 이를 이용한 환경정보 전달방법,10-2020-0187379,10-2380805,충북대학교 산학협력단,Ⅲ. 필수기반,3. 차세대 통신,4
456,광주,전원 조명 장치의 동작 방법,전원 조명 장치의 동작 방법,10-2019-0046661,10-2041120,한국전력공사,Ⅲ. 필수기반,3. 차세대 통신,4
457,나주,피코 그리드의 전력사용 스케줄링 시스템 및 방법,피코 그리드의 전력사용 스케줄링 시스템 및 방법,10-2011-0098380,10-1805924,한국전력공사,Ⅲ. 필수기반,3. 차세대 통신,4
458,진주,하이브리드 클라우드 환경의 능동적 구축을 위한 조합 추천 장치,클라우드 서비스 추천/결합 장치 및 클라우드 서비스 추천/결합 방법,10-2018-0039818,10-1977536,부산대학교 산학협력단,Ⅲ. 필수기반,3. 차세대 통신,4
459,포항,향상된 정확도를 갖는 소리 인식 방법,향상된 정확도를 갖는 소리 인식 방법 및 그의 응용방법,10-2019-0165885,10-2343853,포항공과대학교 산학협력단,Ⅲ. 필수기반,3. 차세대 통신,5
460,안산,자외선 LED 살균 장치,자외선 LED 살균 장치,10-2018-0114621,10-2380772,한양대학교 에리카산학협력단,Ⅲ. 필수기반,4. 양자,5
461,안산,효율적인 양자 모듈러 곱셈기 및 양자 모듈러 곱셈 방법,효율적인 양자 모듈러 곱셈기 및 양자 모듈러 곱셈 방법,10-2020-0092366,10-2214836,한양대학교 에리카산학협력단,Ⅲ. 필수기반,4. 양자,5
